Address,Name,CUISINE DESCRIPTION
1 7 AVENUE SOUTH 10014,ayza wine & chocolate bar,French
1 E 55TH ST 10022,the polo bar,American
1 EAST  161 STREET 10451,stand 334 beer room,American
1 EAST  161 STREET 10451,mohegan sun sports bar,American
1 JFK INTEL 11430,sammy's beach bar & grill,American
1 LISPENARD ST 10013,nancy whiskey pub,American
1 YORK ST 10013,barry's bootcamp fuel bar,"Juice, Smoothies, Fruit Salads"
10 COLUMBUS CIRCLE 10019,center bar,American
10 EAST   21 STREET 10010,society billards and bar,American
10 W 32ND ST 10001,miss korea barbecue ''sun'',Korean
10 WEST   32 STREET 10001,mui kitchen & bar,American
100 CENTRAL PARK SOUTH 10019,whiskey park,American
1002 CORTELYOU RD 11218,highbury pub,American
1003 BRIGHTON BEACH AVENUE 11235,kebeer grill bar,American
1008 CORTELYOU ROAD 11218,bar chord,American
101 FOREST PARK DR 11421,forest park snack bar,American
101 W 25TH ST 10001,blue dog kitchen bar,American
10101 37 AVENUE 11368,la vida loca restaurant and bar,Mexican
10117 43 AVENUE 11368,la marina bar restaurant,Mexican
102 1 AVENUE 10009,coal yard bar,American
1020 AMSTERDAM AVENUE 10025,1020 bar,American
1020 LEXINGTON AVENUE 10021,lexington bar and books,American
10202 NORTHERN BOULEVARD 11368,salinas ecuadorian bar & restaurant,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)"
10203 JAMAICA AVE 11418,la cocina de alex cafe bar & lounge,Other
1022 AVENUE P 11223,my grill bar,Jewish/Kosher
1024 MORRIS PARK AVENUE 10461,doyles pub,Irish
1025 BOARDWALK 11224,deno's snack bar/famiglia,American
1025 MANHATTAN AVENUE 11222,whiskey burger,American
10253 43 AVENUE 11368,paraiso azteca restaurant & bar,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)"
1028 CASTLE HILL AVE 10472,1028 bar & restaurant el salvadoreno,Spanish
103 2 AVENUE 10003,mighty quinn's barbeque,Barbecue
103 LEXINGTON AVENUE 10016,tamba indian grill & bar,Indian
10408 METROPOLITAN AVENUE 11375,end of the century bar,American
1041 MANHATTAN AVENUE 11222,tommy's tavern,American
10410 ROOSEVELT AVENUE 11368,la mitad del mundo bar-restaurant,Mexican
10419 JAMAICA AVENUE 11418,829 bar restaurant,Spanish
10421 ROOSEVELT AVE 11368,el manatial restaurant & bar,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)"
10503 LIBERTY AVENUE 11417,on the rox lounge & bar,American
10507 NORTHERN BLVD 11368,ilusion tavern,Spanish
10561058 BROADWAY 11221,gallery bar,American
106 3RD AVE 10003,brazen fox kitchen and bar,American
106 BEVERLY ROAD 11218,denny's pub,American
1063 POST AVENUE 10302,casey's public house,American
10636 SUTPHIN BLVD 11435,g & l restaurant & bar,Caribbean
1065 AVE OF THE AMERICAS 10018,academia barilla restaurant,Italian
1065 BEDFORD AVE 11216,jo juice and salad bar,"Juice, Smoothies, Fruit Salads"
107 MCCLEAN AVENUE 10305,italianissimo restaurant cafe bar,Italian
10709 ROCKAWAY BOULEVARD 11417,johnny's restaurant bar & lounge,Caribbean
1077 GRAND STREET 11211,pumps exotic bar,American
108 AVENUE B 10009,7b bar,American
10802 JAMAICA AVE 11418,tauros bar and restaurant,Mexican
