Date,RegionID,RegionName,State,Metro,County,City,SizeRank,Zhvi,MoM,QoQ,YoY,5Year,10Year,PeakMonth,PeakQuarter,PeakZHVI,PctFallFromPeak,LastTimeAtCurrZHVI
2/29/2016,62080,11368,NY,New York,Queens,New York,0,373300,0.004574812,0.008101539,0.053329571,0.069163951,0.041031677,2016-02,2016-Q1,373300,0,2016-02
2/29/2016,93144,79936,TX,El Paso,El Paso,El Paso,1,111000,0.000901713,-0.001798561,-0.003590664,-0.006189689,0.007802087,2007-12,2007-Q4,131000,-0.152671756,2006-07
2/29/2016,84630,60629,IL,Chicago,Cook,Chicago,2,139800,0.00071582,0.00286944,0.037091988,0.022305197,-0.047401519,2006-07,2006-Q3,232900,-0.399742379,2002-06
2/29/2016,96193,90650,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles,Norwalk,3,406600,0.006186587,0.017772215,0.079087049,0.071855207,-0.014574337,2006-08,2006-Q3,490100,-0.170373393,2005-05
2/29/2016,62037,11226,NY,New York,Kings,New York,4,565900,-0.002643638,-0.021949533,0.07401784,0.086127402,0.040191098,2015-11,2015-Q4,578600,-0.021949533,2015-10
2/29/2016,62093,11385,NY,New York,Queens,New York,5,543200,0.005553499,0.018754689,0.098483316,0.048776401,0.014687748,2016-02,2016-Q1,543200,0,2016-02
2/29/2016,96083,90201,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles,Bell,6,376500,0.009924893,0.038907285,0.102811951,0.093598178,-0.012438311,2007-02,2007-Q1,470600,-0.199957501,2005-06
2/29/2016,96125,90280,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles,South Gate,7,371400,0.006231374,0.023140496,0.106674613,0.08809944,-0.015840625,2007-04,2007-Q2,474900,-0.217940619,2005-05
2/29/2016,61639,10025,NY,New York,New York,New York,8,1168000,0.009071274,-0.008152174,0.089349002,0.094954524,0.052379749,2015-08,2015-Q3,1248500,-0.064477373,2015-06
2/29/2016,62044,11234,NY,New York,Kings,New York,9,487100,0.005573906,0.021174004,0.075038623,0.021804311,0.002413163,2007-11,2007-Q4,509600,-0.044152276,2006-04
2/29/2016,84620,60618,IL,Chicago,Cook,Chicago,10,327800,0.002446483,0.009547274,0.053003534,0.038331039,-0.00320689,2006-11,2006-Q4,349600,-0.062356979,2005-10
2/29/2016,62046,11236,NY,New York,Kings,New York,11,378800,0.003177966,0.01827957,0.081667619,0.01266365,-0.001751747,2007-12,2007-Q4,454100,-0.165822506,2006-01
2/29/2016,96361,91331,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles,Los Angeles,12,392100,0.006933744,0.020296643,0.06926643,0.093574819,-0.020877105,2006-09,2006-Q3,514100,-0.237307917,2005-01
2/29/2016,61148,8701,NJ,New York,Ocean,Lakewood Township,13,286800,0.012711864,0.029432879,0.074962519,0.046406875,-0.011140754,2006-03,2006-Q1,321000,-0.106542056,2005-02
2/29/2016,96816,92335,CA,Riverside,San Bernardino,Fontana,14,280300,0.011548178,0.031652558,0.090661479,0.121058915,-0.02709274,2006-06,2006-Q2,387200,-0.276084711,2004-12
2/29/2016,62019,11208,NY,New York,Kings,New York,15,370000,0.006802721,0.030066815,0.128737035,0.040008912,0.00537156,2008-02,2008-Q1,447800,-0.173738276,2006-05
2/29/2016,91733,77084,TX,Houston,Harris,Houston,16,147900,0.00339213,0.008179959,0.075636364,0.05984562,0.017781726,2016-02,2016-Q1,147900,0,2016-02
2/29/2016,62085,11373,NY,New York,Queens,New York,17,306300,-0.025763359,-0.094322886,-0.160591943,-0.007718744,,2015-01,2015-Q1,365200,-0.16128149,2013-02
2/29/2016,95992,90011,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles,Los Angeles,18,333600,0.00270514,0.009990917,0.062420382,0.128836207,-0.011998412,2007-04,2007-Q2,428200,-0.220924801,2005-08
2/29/2016,84639,60639,IL,Chicago,Cook,Chicago,19,198600,0.008633824,0.029015544,0.110117384,0.039281196,-0.036984965,2006-09,2006-Q3,300600,-0.339321357,2003-01
2/29/2016,62018,11207,NY,New York,Kings,New York,20,330200,-0.008110544,-0.011673152,0.040983607,0.019436363,-0.002213869,2007-12,2007-Q4,389500,-0.15224647,2006-01
2/29/2016,96239,90805,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles,Long Beach,21,371700,0.005137912,0.017241379,0.074898785,0.081778585,-0.017284223,2006-08,2006-Q3,465800,-0.202018033,2005-03
2/29/2016,84693,60804,IL,Chicago,Cook,Cicero,22,134000,0.003745318,0.015921152,0.066878981,0.036704401,-0.045422059,2006-11,2006-Q4,221400,-0.394760614,2002-02
2/29/2016,84646,60647,IL,Chicago,Cook,Chicago,23,285100,0.003166784,0.007064641,0.038994169,0.027364839,-0.006561488,2006-07,2006-Q3,309600,-0.079134367,2005-07
2/29/2016,97771,94565,CA,San Francisco,Contra Costa,Pittsburg,24,337800,0.009563658,0.03208066,0.107177974,0.144793875,-0.032261674,2005-12,2005-Q4,469800,-0.280970626,2004-04
2/29/2016,62088,11377,NY,New York,Queens,New York,25,407400,0.002707359,0.047839506,0.126970954,0.043041089,0.032424404,2004-04,2004-Q2,424300,-0.039830309,2004-01
2/29/2016,96817,92336,CA,Riverside,San Bernardino,Fontana,26,395500,0.002280791,0.009701302,0.035340314,0.081022554,-0.020797155,2006-06,2006-Q2,499200,-0.207732372,2004-10
2/29/2016,61796,10456,NY,New York,Bronx,New York,27,260200,0.000384468,0.010093168,-0.008384146,0.013438371,-0.00420545,2008-07,2008-Q3,305600,-0.148560209,2007-10
2/29/2016,62025,11214,NY,New York,Kings,New York,28,550900,0.000181554,0.001818512,0.050333651,0.046887234,0.016030471,2015-12,2015-Q4,551400,-0.000906783,2015-12
2/29/2016,96882,92503,CA,Riverside,Riverside,Riverside,29,316000,0.005089059,0.017713366,0.084048027,0.098338185,-0.027119777,2006-08,2006-Q3,426000,-0.258215962,2004-09
