"","zipcode","value"
"1","",4143.86349990075
"2","0.0",7242.26666666667
"3","0000",4247.76666666667
"4","00000",20539.85
"5","000000",22103.2666666667
"6","0000000",22165.3166666667
"7","00083",233.066137566138
"8","00116",22193.0333333333
"9","01757-2821",22093.5
"10","01888-4133",21898.6833333333
"11","02150",1537.01666666667
"12","02205",22191.5166666667
"13","02241-5789",22035.15
"14","02250-5126",22096.8
"15","02298-1002",22396.4166666667
"16","02459",22409.6833333333
"17","02494",22596.55
"18","03003079",22430.3
"19","06770-3437",22267.5333333333
"20","06851",22158.3666666667
"21","07026",5595.73333333333
"22","07054",22340.5666666667
"23","07077",22317.3083333333
"24","07094",76224.2
"25","07101-4523",22403.8166666667
"26","07193",22194.4833333333
"27","07438",22340.4833333333
"28","07440",9995.36666666667
"29","07601",22165.2166666667
"30","07652",22595.5166666667
"31","07981",21839.05
"32","08457",22477.4333333333
"33","08854",22481.3944444444
"34","1000",22197.8
"35","10000",195.291666666667
"36","10000.0",889.236458333333
"37","10001",18372.090241185
"38","10001.0",24856.9647776184
"39","10002",28888.4622732933
"40","10002.0",39248.0211269123
"41","10003",21728.5346860909
"42","10003.0",30168.8444473387
"43","10004",8940.14155092593
"44","10004.0",12723.8572796935
"45","10005",7766.89695121951
"46","10005.0",25285.1061333333
"47","10006",16208.0648071625
"48","10006.0",46277.8543243243
"49","10007",7259.31135076253
"50","10007.0",22558.2735250737
"51","10009",21549.6484959621
"52","10009.0",33733.167812359
"53","10010",18792.0509593085
"54","10010.0",48192.9638931298
"55","10011",19318.8142244134
"56","10011.0",31088.8669252316
"57","10012",23948.9926289169
"58","10012.0",37497.4976645004
"59","10013",22563.4601095857
"60","10013.0",38710.8037494178
"61","10014",20398.7413787375
"62","10014.0",32862.4263575783
"63","10016",24063.4339289414
"64","10016.0",38132.4983842575
"65","10017",8692.70739514349
"66","10017.0",17606.246691593
"67","10018",13898.6985284052
"68","10018.0",40044.6978181818
"69","10019",18238.1242224584
"70","10019.0",31491.6730694444
"71","10020",7297.38033333333
"72","10020.0",6393.14380952381
"73","10021",18986.6214925677
"74","10021.0",29041.2977320675
"75","10022",18692.5410695971
"76","10022.0",31620.6997416021
"77","10023",19796.8500231868
"78","10023.0",30658.5641337974
"79","10024",21503.947902059
"80","10024.0",33852.9524047429
"81","10025",20559.0453866147
"82","10025.0",33616.6680733887
"83","10026",23366.3870014165
"84","10026.0",33944.7188244483
"85","10027",22696.1603858725
"86","10027.0",32993.7514340284
"87","10028",20396.9306675063
"88","10028.0",38342.2455800223
"89","10029",17942.2358446834
"90","10029.0",25059.7653868814
"91","10030",21041.388247328
"92","10030.0",27597.8662760789
"93","10031",26822.0443747303
"94","10031.0",39333.9614978009
"95","10032",27600.141015698
"96","10032.0",35597.2781954887
"97","10033",26074.6574804624
"98","10033.0",37494.3507563764
"99","10034",25220.2976544938
"100","10034.0",28797.0364365411
"101","10035",19703.9794411689
"102","10035.0",29629.4534173228
"103","10036",15847.2257942738
"104","10036.0",27696.4904687795
"105","10037",26371.9051809865
"106","10037.0",33773.650772297
"107","10038",15547.9221652687
"108","10038.0",34021.7531290743
"109","10039",24727.0941270475
"110","10039.0",38514.7313711357
"111","10040",21721.7708136483
"112","10040.0",24614.1388096902
"113","10041",4973.08333333333
"114","10041.0",15753.65
"115","10044",40625.2589108911
"116","10044.0",46869.2823129252
"117","10048",4588.0875
"118","10048.0",44.15
"119","10065",23352.0491336634
"120","10065.0",38343.4422901679
"121","10069",14481.5405660377
"122","10069.0",68757.8134146341
"123","10075",20319.2108649789
"124","10075.0",40797.4229571984
"125","10096",22337.5333333333
"126","10103",22690.3566666667
"127","10103.0",53680.30625
"128","10107",29797.0666666667
"129","10111",12848.9194444444
"130","10111.0",2606.93333333333
"131","10112",5095.23076923077
"132","10112.0",7663.48796296296
"133","10119",6109.72708333333
"134","10119.0",702693.941666667
"135","10123",7398.71666666667
"136","10123.0",4374.85
"137","10128",23900.7801565587
"138","10128.0",34239.6137099812
"139","10129",35190.9488888889
"140","10129.0",1355.25
"141","10153",25549.5378787879
"142","10153.0",1537.6
"143","10154.0",2654.7
"144","10159-1323",21951.65
"145","10162",114031.65
"146","10162.0",31525.1071428571
"147","10163",21839.7166666667
"148","10272-0992",22345.0333333333
"149","10280",17968.2950520833
"150","10280.0",53630.0503745318
"151","10281",4894.82108843537
"152","10281.0",3208.30343137255
"153","10282",6451.62951388889
"154","10282.0",48383.0267361111
"155","10285",5824.7
"156","10301",11895.3587271382
"157","10301.0",12376.9685850835
"158","10302",12894.5485388386
"159","10302.0",14284.0058932543
"160","10303",11890.3056601923
"161","10303.0",12970.5372796935
"162","10304",11189.9605305652
"163","10304.0",16377.5338946056
"164","10305",10750.1741738163
"165","10305.0",12884.6982766289
"166","10306",10152.0879931973
"167","10306.0",11820.752951573
"168","10307",8931.29697428139
"169","10307.0",5973.22762557078
"170","10308",6668.81833992095
"171","10308.0",12360.9219705549
"172","10309",8410.81466375334
"173","10309.0",10518.2618872549
"174","10310",8743.32490636704
"175","10310.0",9924.31099908341
"176","10312",7637.06540014684
"177","10312.0",9698.79608877722
"178","10314",8749.54087126774
"179","10314.0",11983.2225019826
"180","10451",19302.2582466889
"181","10451.0",21732.7805746075
"182","10452",20863.8019964109
"183","10452.0",26260.7012482501
"184","10453",21292.0365482752
"185","10453.0",27738.6108904517
"186","10454",21071.4076293699
"187","10454.0",26911.9904202899
"188","10455",18180.3437729878
"189","10455.0",27698.7579052235
"190","10456",19150.2851946206
"191","10456.0",28340.3892807234
"192","10457",19809.3451564664
"193","10457.0",25642.0695048806
"194","10458",18690.566064343
"195","10458.0",25029.1621213643
"196","10459",21463.7048578342
"197","10459.0",25055.1527551544
"198","10460",17022.2990622907
"199","10460.0",27452.9089575045
"200","10461",18767.4111122298
"201","10461.0",21478.3058920371
"202","10462",18128.7913994514
"203","10462.0",23467.2265701668
"204","10463",16346.4701249812
"205","10463.0",26096.0554599368
"206","10464",18835.9074497009
"207","10464.0",31006.1401385493
"208","10465",13960.8869434877
"209","10465.0",24399.3886982846
"210","10466",16234.8305221152
"211","10466.0",24651.1976805054
"212","10467",18659.0750405885
"213","10467.0",27336.0258075138
"214","10468",20423.5302572357
"215","10468.0",28255.1478485312
"216","10469",16558.393858068
"217","10469.0",25102.0566783911
"218","10470",16156.2483305625
"219","10470.0",21281.1595773688
"220","10471",12506.0766951838
"221","10471.0",25831.1042078302
"222","10472",17711.8389504844
"223","10472.0",19619.2476116457
"224","10473",16190.5723097113
"225","10473.0",24503.7574541284
"226","10474",20966.4073804387
"227","10474.0",20089.4092907801
"228","10475",16014.8105040237
"229","10475.0",37611.5618177001
"230","10505",22260.9
"231","10512",22402.2666666667
"232","10522.0",0.583333333333333
"233","10523.0",22362.9083333333
"234","10533.0",22197.2166666667
"235","10536",21701.0666666667
"236","10550",22070.1
"237","10566.0",11226.5291666667
"238","10573",22010.6833333333
"239","10583",4059.83333333333
"240","10591",21871.4333333333
"241","10591.0",22040.8
"242","10601",14874.6083333333
"243","10603",16102.35
"244","10704",5798.71666666667
"245","10704.0",22464.15
"246","10705.0",12636.9583333333
"247","10710.0",22241.4833333333
"248","10801",12590.875
"249","10801.0",22362.25
"250","10803",688.5875
"251","10803.0",43851.9458333333
"252","10805",21750.1
"253","10960.0",3970.56666666667
"254","10977",22259.0333333333
"255","10977.0",22290.6833333333
"256","10983.0",22432.5333333333
"257","11000.0",22418.2166666667
"258","11001",11705.6348932677
"259","11001-2024",22479.5666666667
"260","11001.0",14714.9271645022
"261","11003",16136.25
"262","11004",16291.0518631436
"263","11004.0",24777.5759963768
"264","11005",3036.91666666667
"265","11005.0",7401.46666666667
"266","11010",12821.925
"267","11021",22375.85
"268","11030",2835.81666666667
"269","1104",1142.81666666667
"270","11040",15927.7803385417
"271","11040.0",10444.0119341564
"272","11096.0",1689.58333333333
"273","11101",11963.8578965225
"274","11101.0",31972.3686245797
"275","11102",16318.9578635621
"276","11102.0",25454.383665717
"277","11103",18452.2599074342
"278","11103.0",25722.244553875
"279","11104",16017.3220377427
"280","11104.0",27596.8018003093
"281","11105",19452.6379302216
"282","11105.0",31918.7991212524
"283","11106",14487.9878972836
"284","11106.0",25629.8270472895
"285","11109",5008.2837398374
"286","11109.0",18439.5492647059
"287","111111",22156.55
"288","11201",15489.0160736852
"289","11201.0",28668.7456865849
"290","11203",19922.7792438935
"291","11203.0",26260.3030900122
"292","11204",18714.3165386339
"293","11204.0",28005.4153930302
"294","11205",17240.4592910562
"295","11205.0",24644.4655031243
"296","11206",18332.3879032672
"297","11206.0",28570.8407783068
"298","11207",23768.5606221973
"299","11207.0",32952.5738272942
"300","11208",25394.5596042407
"301","11208.0",36114.8155987305
"302","11209",14752.5401651034
"303","11209.0",22527.6172772175
"304","11210",20664.8360690756
"305","11210.0",35406.3603634134
"306","11211",17489.6723167337
"307","11211.0",29599.5810494782
"308","11212",21334.283217803
"309","11212.0",32592.0691659184
"310","11213",21082.4062202252
"311","11213.0",26110.4314997192
"312","11214",18195.9445609669
"313","11214.0",31411.7070008834
"314","11215",17959.3110742216
"315","11215.0",28225.0925225225
"316","11216",21892.2014045844
"317","11216.0",32227.6453791704
"318","11217",16618.4165835181
"319","11217.0",23264.7203111909
"320","11218",16221.0000402881
"321","11218.0",22775.2661033055
"322","11219",14087.4059340882
"323","11219.0",23783.8229219678
"324","11220",24933.032873403
"325","11220.0",33865.1044388464
"326","11221",20338.8056773702
"327","11221.0",34452.6429522351
"328","11222",20732.3520706512
"329","11222.0",32432.0401984539
"330","11223",15782.3703523141
"331","11223.0",23326.8428392745
